"customer_id","Amount"
"1269647","138808"
"167631","56404"
"301524","36020"
"1268254","32489"
"357161","85150"
"1294857","55597"
"387095","19055"
"785080","39588"
"1288527","4343"
"540819","8916"
"755178","4804"
"208965","11817"
"273371","6038"
"1134322","12740"
"1340964","21827"
"16735","11147"
"1347557","14136"
"1311286","12358"
"811982","1863"
"1275245","2671"
"260473","3472"
"1287707","10516"
"693024","8412"
"1298716","1617"
"1300395","2262"
"98584","11265"
"102619","4801"
"304355","12775"
"153968","2782"
"71349","1026"
"1339136","7772"
"574029","13166"
"577644","4304"
"509635","3251"
"1238278","3235"
"6115","3782"
"1142543","4227"
"723564","6145"
"161197","20434"
"432625","1342"
"43651","9623"
"217699","9063"
"476426","7280"
"233601","6274"
"195591","7130"
"238995","4375"
"47575","1535"
"83330","4951"
"1247819","4653"
"189683","1712"
"1238009","611"
"402188","3574"
"364647","1544"
"208560","5758"
"1261606","2238"
"154766","8086"
"284324","11368"
"1252942","12012"
"1147378","2419"
"188906","11008"
"78346","7845"
"21633","2458"
"105311","1729"
"351592","10569"
"1191953","491"
"27088","6164"
"473104","3683"
"335126","14243"
"37068","14437"
"634584","3402"
"1339671","21342"
"20343","9483"
"329752","606"
"1145913","1144"
"1252374","6348"
"646390","9321"
"432218","361"
"1274687","356"
"1149655","1073"
"723742","3962"
"41036","4202"
"1262012","8552"
"396372","9467"
"501767","2731"
"1153490","4263"
"332878","11986"
"1263764","8"
"1083599","4797"
"622397","11454"
"1248811","703"
"496127","698"
"238968","9578"
"383025","8301"
"1114016","7360"
"54935","8918"
"7289","8280"
"656256","7340"
"1186807","8562"
"166353","1414"
